author,year,covidence_study_id,title,country,study design,setting,sample_size,male,female,sex_notes,mean_age,sd_age,predel_exclusion,precog_exclusion,precipitant,precipitant_details,del_measure,del_assessors_trained
Beglinger ,2006,3907,Incidence of Delirium and Associated Mortality in Hematopoietic Stem Cell Transplantation Patients,United States,Prospective cohort study,University of Iowa Blood and Marrow Transplantation Program (BMTP),30,20,10,,47.6,11.1,no,no,procedure,Hematopoietic Stem Cell Transplantation,DRS; MDAS,no
Beglinger,2011,3906,The neuropsychological course of acute delirium in adult hematopoietic stem cell transplantation patients,United States,Prospective cohort study,"University of Iowa Blood
and Marrow Transplantation Program (BMTP)",52,34,18,,53,11,no,no,procedure,hemapoietic stem cell/bone marrow transplantation,DRS; DRS-R; MDAS,yes
Benoit,2005,3415,Risk factors and prevalence of perioperative cognitive dysfunction in abdominal aneurysm patients,Canada,Prospective cohort study,outpatient clinic for elective management of abdominal aortic aneurysm (AAA),76,79,23,only reported by baseline N,70.8,8.2,no,no,noncardiac,Elective abdominal aortic aneurysm surgery,DSM-IV criteria; Clinician-rated Delirium Index,yes
Brown,2018,3306,Cognitive Decline after Delirium in Patients Undergoing Cardiac Surgery,United States,Prospective observational study,Johns Hopkins Medical Institutions,142,107,35,,70,8,no,no,cardiac,coronary artery bypass and/or valve surgery and/or aortic root surgery with cardiopulmonary bypass,CAM; CAM-ICU; Chart review positive assessment,yes
Brown,2011,3297,Differential effects of delirium on fluid and crystallized cognitive abilities,United Kingdom,Prospective cohort study,NR,37,26,11,,70.5,7.3,no,dementia,cardiac,"cardiac surgery: coronary artery bypass graft (CABG), aortic valve replacement (AVR), or combined CABG and AVR surgery",CAM,yes
Cinar,2014,3487,"Role of CRP, TNF-alpha and IGF-1 in delirium pathophysiology",Turkey,Prospective cohort study,The Gulhane Military Medical Faculty (GMMF),35,27,8,,64.2,10.3,no,no,cardiac,CABG,DRS-98-T; DSM-IV-TR,no
Cizginer,2017,3485,The Cognitive Reserve Model in the Development of Delirium: The Successful Aging After Elective Surgery Study,United States,Prospective cohort study,two Harvard-affiliated academic medical centers,556,NR,NR,,77,5,yes,dementia,noncardiac,"elective surgery: Eligible surgical procedures were total hip or knee replacement, lumbar, cervical, or sacral laminectomy, lower extremity arterial bypass surgery, open abdominal aortic aneurysm repair, and open or laparoscopic colectomy
 
 Most patients 404/556 (81%) underwent orthopedic surgery",CAM (supplemented with validated chart review method),yes
Cunningham,2017,3010,Observational cohort study examining apolipoprotein E status and preoperative neuropsychological performance as predictors of post-operative delirium in an older elective arthroplasty population,United Kingdom,Observational cohort study,Musgrave Park Hospital (?),315,136,179,,74.4,5.8,no,dementia,noncardiac,primary elective hip or knee arthroplasty,MMSE; CAM; DSM-IV,yes
Fann,2007,3886,"Impact of delirium on cognition, distress, and health-related quality of life after hematopoietic stem-cell transplantation",United States,Prospective cohort study,Fred Hutchinson Cancer Research Center,90,54,36,,41.4,9.9,no,no,procedure,first myeloablative allogeneic or autologous marrow or peripheral-blood hematopoietic stem-cell transplantation (HSCT),DRS,yes
Fann,2002,3885,Delirium in patients undergoing hematopoietic stem cell transplantati: Incidence and pretransplantation risk factors,United States,Prospective cohort study,Fred Hutchinson Cancer Research Center (FHCRC),90,54,36,,41.4,9.9,no,no,procedure,hematopoietic stem cell transplantation (HSCT),DRS; MDAS (severity),yes
Fisher,1995,2545,A simple model for predicting postoperative delirium in older patients undergoing elective orthopedic surgery,Canada,Prospective cohort study,University teaching hospital ,80,43,37,,71.2,NR,no,no,noncardiac,elective hip or knee replacement surgery,CAM,no
Fong,2015,2527,Neuropsychological profiles of an elderly cohort undergoing elective surgery and the relationship between cognitive performance and delirium,United States,Prospective observational study,"two Harvard-affiliated hospitals, Beth Israel Deaconess Medical Center (BIDMC) and Brigham and Women’s Hospital (BWH)",300,135,165,,76.9,5,yes,cognition,noncardiac,"elective surgery:total hip or knee replacement, laminectomy, lower extremity arterial bypass, open abdominal aortic aneurysm repair, and colectomy",Digit Span Task; DSI; CAM; validated chart review method,yes
Greene,2009,2859,Measures of executive function and depression identify patients at risk for postoperative delirium,United States,Prospective cohort study,Duke University and the Durham Veterans Affairs (VA) Medical Centers,100,91,9,,64.6,7.7,no,no,noncardiac,"major noncardiac (general, thoracic, urologic, vascular or orthopedic) surgery",CAM,yes
Hshieh,2016,1320,Cerebral blood flow MRI in the nondemented elderly is not predictive of post-operative delirium but is correlated with cognitive performance,United States,Prospective cohort study,"two Harvard affiliated academic medical centers (Beth Israel Deaconess Medical Center (BIDMC) and Brigham and Women’s Hospital (BWH), both in Boston, Massachusetts)",146,59,87,,76,4,yes,dementia,noncardiac,"elective surgery: total hip or knee replacement, lumbar, cervical, or sacral laminectomy, lower extremity arterial bypass surgery, open abdominal aortic aneurysm repair, and open
 or laparoscopic colectomy",CAM; CAM-S Long Form,yes
Jankowski,2011,2145,Cognitive and functional predictors and sequelae of postoperative delirium in elderly patients undergoing elective joint arthroplasty,United States,"Prospective cohort study, case-control for follow-up",Mayo Clinic Rochester,418,206,212,,72.9,5.4,yes,cognition,noncardiac,elective hip or knee arthroplasty,CAM,yes
Jones,2016,2104,Preoperative Cognitive Performance Dominates Risk for Delirium Among Older Adults,United States,Prospective cohort study,2 Harvard-affiliated academic medical centers,566,236,330,,76.7,5.2,yes,dementia,noncardiac,"elective major noncardiac surgery: total hip or knee replacement; lumbar, cervical, or sacral laminectomy; lower extremity arterial bypass surgery; open abdominal aortic aneurysm repair; and colectomy",DSI; CAM; Standardised chart review,yes
Kagansky,2004,2091,Low incidence of delirium in very old patients after surgery for hip fractures,Israel,Prospective cohort study,Kaplan-Harzfeld Medical Center,102,26,76,,82.5,5.3,no,dementia,noncardiac,"patients referred to orthopedic unit in emergency department with diagnosis of hip fracture, surgeries include hemiarthroplasty and Richard's nailing",CAM; DRS,no
